N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"66,500","1,600",+2.47%,100,"3,969,905","5,969,783",50.75,"14,493,061",11.51,13.92,
2,LG에너지솔루션,"400,500","12,500",+3.22%,500,"937,170","234,000",2.95,"227,435",101.06,10.68,
3,SK하이닉스,"112,500","3,500",+3.21%,"5,000","819,003","728,002",49.69,"3,988,166",8.53,16.84,
4,삼성바이오로직스,"785,000","3,000",-0.38%,"2,500","558,716","71,174",10.30,"63,014",133.55,8.21,
5,삼성전자우,"58,200",700,+1.22%,100,"478,920","822,887",72.32,"1,832,061",10.07,N/A,
6,NAVER,"274,500","4,500",+1.67%,100,"450,315","164,049",53.85,"470,579",2.73,106.72,
7,삼성SDI,"589,000","25,000",+4.43%,"5,000","405,023","68,765",43.11,"246,828",35.44,8.45,
8,현대차,"186,500","6,000",+3.32%,"5,000","398,491","213,668",26.87,"921,435",10.45,6.84,
9,카카오,"81,800","1,100",+1.36%,100,"365,914","447,328",28.22,"1,515,477",26.12,17.10,
10,LG화학,"510,000","24,500",+5.05%,"5,000","360,021","70,592",48.16,"218,613",10.88,18.47,
11,기아,"86,300",0,0.00%,"5,000","349,829","405,363",35.69,"1,609,390",7.35,14.69,
12,POSCO홀딩스,"280,500","7,500",+2.75%,"5,000","244,559","87,187",52.85,"254,298",3.70,13.97,
13,KB금융,"58,300",600,+1.04%,"5,000","240,402","412,352",72.82,"1,051,273",5.50,9.80,
14,신한지주,"42,300","1,300",+3.17%,"5,000","216,971","512,934",62.58,"1,243,310",5.62,8.80,
15,삼성물산,"115,500","3,500",+3.13%,100,"215,855","186,887",15.87,"326,575",13.32,5.40,
16,셀트리온,"145,000","9,500",-6.15%,"1,000","203,998","140,688",19.78,"1,382,157",35.44,15.81,
17,SK이노베이션,"206,500","9,500",+4.82%,"5,000","190,941","92,466",23.94,"323,602",63.54,1.91,
18,현대모비스,"199,500","5,500",+2.84%,"5,000","188,673","94,573",34.10,"388,318",8.04,6.87,
19,카카오뱅크,"38,450",500,+1.32%,"5,000","183,098","476,196",15.21,"1,695,103",82.33,4.91,
20,SK,"245,000","2,500",+1.03%,200,"181,666","74,149",21.54,"154,529",8.86,10.19,
21,LG전자,"107,500","1,500",+1.42%,"5,000","175,921","163,648",27.41,"691,683",18.84,6.32,
22,HMM,"31,100",300,+0.97%,"5,000","152,091","489,039",9.85,"5,644,944",2.26,88.62,
23,한국전력,"22,650",400,+1.80%,"5,000","145,405","641,964",14.65,"1,370,753",-2.74,-7.99,
24,하나금융지주,"45,900","1,250",+2.80%,"5,000","137,811","300,242",71.20,"819,039",3.91,10.86,
25,SK텔레콤,"61,000","1,200",+2.01%,100,"133,488","218,833",48.27,"1,151,874",8.92,13.63,
26,삼성생명,"65,200","1,700",+2.68%,500,"130,400","200,000",12.76,"355,710",8.87,4.01,
27,S-Oil,"110,500","1,500",+1.38%,"2,500","124,404","112,583",80.87,"279,173",9.35,21.76,
28,크래프톤,"253,500","1,500",+0.60%,100,"124,398","49,072",28.58,"574,547",22.16,17.86,
29,두산에너빌리티,"19,650",900,+4.80%,"5,000","124,202","632,072",9.16,"7,281,404",19.15,10.67,
30,삼성전기,"160,500","5,500",+3.55%,"5,000","119,883","74,694",27.45,"354,141",13.96,14.29,
31,LG,"75,000","5,100",+7.30%,"5,000","117,976","157,301",36.48,"473,725",4.84,12.36,
32,KT&G,"83,400",600,+0.72%,"5,000","114,502","137,292",37.99,"518,827",11.72,10.74,
33,우리금융지주,"15,700",650,+4.32%,"5,000","114,306","728,061",35.92,"4,082,750",4.40,10.59,
34,카카오페이,"86,000",100,+0.12%,500,"113,934","132,481",42.56,"284,331",-434.34,-2.45,
35,삼성에스디에스,"144,500","4,500",+3.21%,500,"111,811","77,378",12.95,"123,227",18.29,8.80,
36,현대중공업,"125,500","1,500",+1.21%,"5,000","111,410","88,773",5.15,"571,293",-11.77,-14.87,
37,LG생활건강,"694,000","3,000",+0.43%,"5,000","108,390","15,618",37.77,"153,822",14.56,16.65,
38,고려아연,"544,000","4,000",+0.74%,"5,000","102,653","18,870",20.05,"35,532",12.72,11.07,
39,대한항공,"29,150",700,+2.46%,"5,000","101,390","347,821",13.38,"985,342",15.30,11.60,
40,포스코케미칼,"127,000","3,500",+2.83%,500,"98,378","77,463",6.44,"337,711",72.04,7.92,
41,KT,"37,550",700,+1.90%,"5,000","98,047","261,112",42.70,"1,789,871",7.23,9.36,
42,아모레퍼시픽,"165,000","1,500",+0.92%,500,"96,513","58,493",26.95,"288,481",58.80,4.20,
43,엔씨소프트,"439,500","41,000",+10.29%,500,"96,488","21,954",42.09,"494,736",24.31,12.62,
44,삼성화재,"203,000","3,500",+1.75%,500,"96,171","47,375",49.28,"89,546",9.15,7.09,
45,SK바이오사이언스,"122,500","2,500",+2.08%,500,"94,060","76,784",4.31,"292,900",25.37,38.08,
46,하이브,"215,000","2,000",+0.94%,500,"88,910","41,353",15.27,"244,759",59.62,6.83,
47,SK아이이테크놀로지,"117,000","5,000",+4.46%,"1,000","83,418","71,298",9.31,"211,103",83.99,5.57,
48,기업은행,"11,200",250,+2.28%,"5,000","83,362","744,301",14.70,"1,287,618",3.69,9.21,
49,LG이노텍,"335,500","7,000",+2.13%,"5,000","79,403","23,667",24.89,"193,809",8.94,30.94,
50,현대글로비스,"208,000",500,+0.24%,500,"78,000","37,500",44.60,"116,422",9.96,14.41,
51,SK바이오팜,"86,300","4,400",+5.37%,500,"67,584","78,313",6.13,"167,979",104.23,15.75,
52,롯데케미칼,"192,500","4,500",+2.39%,"5,000","65,980","34,275",24.26,"57,900",4.90,9.87,
53,한국조선해양,"91,700","4,900",+5.65%,"5,000","64,899","70,773",20.43,"259,742",-6.98,-8.95,
54,SK스퀘어,"44,400","1,300",+3.02%,100,"62,812","141,468",39.92,"438,489",2.75,N/A,
55,넷마블,"72,300","11,600",-13.83%,100,"62,144","85,954",22.73,"1,206,683",25.87,4.29,
56,LG디스플레이,"17,350",400,+2.36%,"5,000","62,081","357,816",15.84,"1,455,036",5.23,9.68,
57,CJ제일제당,"404,000","2,500",+0.62%,"5,000","60,819","15,054",22.67,"25,735",10.80,10.76,
